timestamp,source_type,host,src_ip,dst_ip,src_port,dst_port,protocol,event_id,event_type,details
2017-05-12T11:27:27Z,firewall,edge-fw,198.51.100.65,10.10.24.41,15642,443,TCP,,conn,conn_open from 198.51.100.65 to 10.10.24.41:443
2017-05-15T20:42:36Z,firewall,edge-fw,198.51.100.40,10.10.24.5,58565,53,TCP,,conn,conn_open from 198.51.100.40 to 10.10.24.5:53
2017-05-13T01:25:31Z,firewall,edge-fw,198.51.100.149,10.10.1.55,9985,80,TCP,,conn,conn_open from 198.51.100.149 to 10.10.1.55:22
2017-05-12T21:25:33Z,firewall,edge-fw,198.51.100.142,10.10.19.68,34832,80,TCP,,conn,conn_open from 198.51.100.142 to 10.10.19.68:443
2017-05-15T12:14:26Z,firewall,edge-fw,198.51.100.1,10.10.25.174,47876,80,TCP,,conn,conn_open from 198.51.100.1 to 10.10.25.174:80
2017-05-14T15:54:43Z,firewall,edge-fw,198.51.100.18,10.10.16.187,56431,22,TCP,,conn,conn_open from 198.51.100.18 to 10.10.16.187:22
2017-05-12T01:29:22Z,sysmon,host-ward05,10.10.6.153,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app25.exe ParentImage: C:\Windows\explorer.exe
2017-05-12T19:25:44Z,sysmon,host-ward08,10.10.9.20,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app29.exe ParentImage: C:\Windows\explorer.exe
2017-05-13T07:14:20Z,sysmon,host-ward16,10.10.17.41,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app25.exe ParentImage: C:\Windows\explorer.exe
2017-05-15T06:53:09Z,firewall,edge-fw,198.51.100.77,10.10.27.32,46214,22,TCP,,conn,conn_open from 198.51.100.77 to 10.10.27.32:22
2017-05-14T17:04:21Z,firewall,edge-fw,198.51.100.65,10.10.28.79,15129,22,TCP,,conn,conn_open from 198.51.100.65 to 10.10.28.79:22
2017-05-15T02:11:59Z,windows,host-ward14,10.10.15.42,0.0.0.0,0,0,,4624,logon,Account: DOMAIN\user108 LogonType: 3
2017-05-15T04:27:41Z,firewall,edge-fw,198.51.100.42,10.10.19.247,43196,22,TCP,,conn,conn_open from 198.51.100.42 to 10.10.19.247:22
2017-05-12T16:20:51Z,firewall,edge-fw,198.51.100.64,10.10.25.169,44955,443,TCP,,conn,conn_open from 198.51.100.64 to 10.10.25.169:443
2017-05-13T00:42:39Z,firewall,edge-fw,198.51.100.120,10.10.4.96,25567,53,TCP,,conn,conn_open from 198.51.100.120 to 10.10.4.96:53
2017-05-14T21:58:18Z,firewall,edge-fw,198.51.100.50,10.10.27.149,45565,53,TCP,,conn,conn_open from 198.51.100.50 to 10.10.27.149:53
2017-05-12T07:10:29Z,firewall,edge-fw,198.51.100.106,10.10.15.19,4533,22,TCP,,conn,conn_open from 198.51.100.106 to 10.10.15.19:22
2017-05-15T00:18:52Z,sysmon,host-ward61,10.10.12.33,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app3.exe ParentImage: C:\Windows\explorer.exe
2017-05-15T23:07:56Z,firewall,edge-fw,198.51.100.88,10.10.31.43,14427,80,TCP,,conn,conn_open from 198.51.100.88 to 10.10.31.43:80
2017-05-12T23:38:19Z,firewall,edge-fw,198.51.100.75,10.10.30.237,56083,135,TCP,,conn,conn_open from 198.51.100.75 to 10.10.30.237:135
2017-05-13T03:11:51Z,sysmon,host-ward34,10.10.35.111,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user60\Documents\doc352.docx
2017-05-15T20:37:31Z,sysmon,host-ward01,10.10.2.124,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app13.exe ParentImage: C:\Windows\explorer.exe
2017-05-14T21:40:32Z,sysmon,host-ward10,10.10.11.129,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user111\Documents\doc354.docx
2017-05-14T18:59:50Z,firewall,edge-fw,198.51.100.126,10.10.41.168,36940,135,TCP,,conn,conn_open from 198.51.100.126 to 10.10.41.168:135
2017-05-15T04:55:37Z,firewall,edge-fw,198.51.100.34,10.10.16.97,31800,22,TCP,,conn,conn_open from 198.51.100.34 to 10.10.16.97:80
2017-05-15T23:26:20Z,sysmon,host-ward05,10.10.6.176,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app9.exe ParentImage: C:\Windows\explorer.exe
2017-05-14T19:37:12Z,sysmon,host-ward62,10.10.13.192,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user65\Documents\doc291.docx
2017-05-15T21:05:55Z,windows,host-ward41,10.10.42.42,0.0.0.0,0,0,,4624,logon,Account: DOMAIN\user103 LogonType: 2
2017-05-12T01:39:07Z,sysmon,backup-01,10.10.9.85,0.0.0.0,0,0,TCP,11,file_create,Path: D:\Backups\backup_247.bak
2017-05-13T04:42:12Z,firewall,edge-fw,198.51.100.38,10.10.12.145,33875,135,TCP,,conn,conn_open from 198.51.100.38 to 10.10.12.145:135
2017-05-13T00:04:56Z,firewall,edge-fw,198.51.100.6,10.10.3.96,4063,443,TCP,,conn,conn_open from 198.51.100.6 to 10.10.3.96:80
2017-05-12T01:38:59Z,sysmon,backup-01,10.10.17.105,0.0.0.0,0,0,TCP,11,file_create,Path: D:\Backups\backup_239.bak
2017-05-14T22:19:38Z,firewall,edge-fw,198.51.100.118,10.10.50.95,63472,22,TCP,,conn,conn_open from 198.51.100.118 to 10.10.50.95:22
2017-05-15T02:55:27Z,firewall,edge-fw,198.51.100.56,10.10.15.118,44810,22,TCP,,conn,conn_open from 198.51.100.56 to 10.10.15.118:22
2017-05-12T05:17:17Z,firewall,edge-fw,198.51.100.84,10.10.38.65,18819,135,TCP,,conn,conn_open from 198.51.100.84 to 10.10.38.65:135
2017-05-15T06:49:12Z,firewall,edge-fw,198.51.100.42,10.10.26.78,64388,443,TCP,,conn,conn_open from 198.51.100.42 to 10.10.26.78:80
2017-05-13T06:10:43Z,sysmon,host-ward42,10.10.43.238,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app7.exe ParentImage: C:\Windows\explorer.exe
2017-05-15T06:21:16Z,firewall,edge-fw,198.51.100.108,10.10.10.203,53855,53,TCP,,conn,conn_open from 198.51.100.108 to 10.10.10.203:53
2017-05-14T13:23:25Z,sysmon,host-ward05,10.10.6.155,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app53.exe ParentImage: C:\Windows\explorer.exe
2017-05-14T16:32:29Z,firewall,edge-fw,198.51.100.48,10.10.8.147,31611,135,TCP,,conn,conn_open from 198.51.100.48 to 10.10.8.147:135
2017-05-15T14:38:38Z,sysmon,host-ward58,10.10.9.115,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user288\Desktop\note728.txt
2017-05-12T18:33:30Z,sysmon,host-ward02,10.10.3.136,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user25\Documents\doc301.docx
2017-05-13T19:08:52Z,sysmon,host-ward11,10.10.12.8,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app12.exe ParentImage: C:\Windows\explorer.exe
2017-05-12T01:31:31Z,sysmon,host-ward02,10.10.3.122,0.0.0.0,0,0,TCP,11,file_create,Path: D:\Backups\backup_91.bak
2017-05-15T14:50:24Z,windows,host-ward38,10.10.39.194,0.0.0.0,0,0,,4624,logon,Account: DOMAIN\user364 LogonType: 3
2017-05-15T18:08:48Z,firewall,edge-fw,198.51.100.8,10.10.33.96,53758,22,TCP,,conn,conn_open from 198.51.100.8 to 10.10.33.96:22
2017-05-12T10:34:39Z,sysmon,host-ward13,10.10.14.242,0.0.0.0,0,0,TCP,1,process_create,Image: C:\Program Files\App\app9.exe ParentImage: C:\Windows\explorer.exe
2017-05-12T15:45:42Z,firewall,edge-fw,198.51.100.75,10.10.47.84,11048,53,TCP,,conn,conn_open from 198.51.100.75 to 10.10.47.84:53
2017-05-15T14:28:11Z,sysmon,host-ward55,10.10.6.138,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user133\Documents\doc259.docx
2017-05-12T20:59:32Z,sysmon,host-ward71,10.10.22.89,0.0.0.0,0,0,TCP,11,file_create,Path: C:\Users\user362\Desktop\note867.txt
2017-05-15T22:57:29Z,firewall,edge-fw,198.51.100.110,10.10.6.226,8566,22,TCP,,conn,conn_open from 198.51.100.110 to 10.10.6.226:22
